Date,Store ID,Units Sold
20160918,8023,233
20160919,8023,256
20160920,8023,52
20160921,8023,18
20160922,8023,58
20160923,8023,114
20160924,8023,226
20160925,8023,189
20160926,8023,121
20160927,8023,391
20160928,8023,60
20160929,8023,26
20160930,8023,155
20161001,8023,91
20161002,8023,59
20161003,8023,32
20161004,8023,51
20161005,8023,112
20161006,8023,32
20161007,8023,54
20161008,8023,14
20161009,8023,204
20161010,8023,303
20161011,8023,51
20161012,8023,120
20161013,8023,59
20161014,8023,87
20161015,8023,234
20161016,8023,142
20161017,8023,121
20161018,8023,153
20161019,8023,60
20161020,8023,22
20161021,8023,116
20161022,8023,70
20161023,8023,85
20161024,8023,20
20161025,8023,31
20161026,8023,76
20161027,8023,22
20161028,8023,49
20161029,8023,9
20161030,8023,227
20161031,8023,286
20161101,8023,69
20161102,8023,66
20161103,8023,74
20161104,8023,135
20161105,8023,257
20161106,8023,187
20161107,8023,101
20161108,8023,168
20161109,8023,55
20161110,8023,31
20161111,8023,128
20161112,8023,68
20161113,8023,50
20161114,8023,13
20161115,8023,39
20161116,8023,46
20161117,8023,11
20161118,8023,32
20161119,8023,15
20161120,8023,279
20161121,8023,249
20161122,8023,70
20161123,8023,50
20161124,8023,88
20161125,8023,115
20161126,8023,257
20161127,8023,187
20161128,8023,128
20161129,8023,150
20161130,8023,70
20161201,8023,43
20161202,8023,134
20161203,8023,70
20161204,8023,45
20161205,8023,35
20161206,8023,43
20161207,8023,53
20161208,8023,31
20161209,8023,41
20161210,8023,14
20161211,8023,210
20161212,8023,247
20161213,8023,60
20161214,8023,31
20161215,8023,55
20161216,8023,93
20161217,8023,287
20161218,8023,1247
20161219,8023,623
20161220,8023,144
20161221,8023,43
20161222,8023,77
20161223,8023,88
20161224,8023,45
20161225,8023,39
20161226,8023,5
20161227,8023,38
20161228,8023,35
20161229,8023,85
20161230,8023,43
20161231,8023,17
20170101,8023,210
20170102,8023,266
20170103,8023,59
20170104,8023,10
20170105,8023,96
20170106,8023,150
20170107,8023,185
20170108,8023,642
20170109,8023,400
20170110,8023,245
20170111,8023,99
20170112,8023,60
20170113,8023,106
20170114,8023,72
20170115,8023,26
20170116,8023,17
20170117,8023,34
20170118,8023,47
20170119,8023,94
20170120,8023,37
20170121,8023,23
20170122,8023,236
20170123,8023,297
20170124,8023,46
20170125,8023,6
20170126,8023,103
20170127,8023,134
20170128,8023,205
20170129,8023,710
20170130,8023,101
20170131,8023,257
20170201,8023,97
20170202,8023,68
20170203,8023,149
20170204,8023,73
20170205,8023,40
20170206,8023,16
20170207,8023,28
20170208,8023,61
20170209,8023,31
20170210,8023,48
20170211,8023,19
20170212,8023,231
20170213,8023,269
20170214,8023,69
20170215,8023,4
20170216,8023,28
20170217,8023,130
20170218,8023,157
20170219,8023,128
20170220,8023,83
20170221,8023,254
20170222,8023,86
20170223,8023,59
20170224,8023,205
20170225,8023,46
20170226,8023,13
20170227,8023,4
20170228,8023,14
20170301,8023,28
20170302,8023,9
20170303,8023,36
20170304,8023,13
20170305,8023,216
20170306,8023,231
20170307,8023,90
20170308,8023,7
20170309,8023,117
20170310,8023,167
20170311,8023,173
20170312,8023,211
20170313,8023,85
20170314,8023,249
20170315,8023,86
20170316,8023,77
20170317,8023,167
20170318,8023,49
20170319,8023,30
20170320,8023,16
20170321,8023,22
20170322,8023,38
20170323,8023,130
20170324,8023,47
20170325,8023,14
20170326,8023,281
20170327,8023,261
20170328,8023,48
20170329,8023,12
20170330,8023,121
20170331,8023,126
20170401,8023,156
20170402,8023,156
20170403,8023,113
20170404,8023,197
20170405,8023,55
20170406,8023,26
20170407,8023,357
20170408,8023,65
20170409,8023,191
20170410,8023,14
20170411,8023,31
20170412,8023,36
20170413,8023,98
20170414,8023,59
20170415,8023,14
20170416,8023,220
20170417,8023,323
20170418,8023,73
20170419,8023,14
20170420,8023,111
20170421,8023,187
20170422,8023,167
20170423,8023,166
20170424,8023,100
20170425,8023,184
20170426,8023,54
20170427,8023,29
20170428,8023,315
20170429,8023,92
20170430,8023,165
20170501,8023,7
20170502,8023,25
20170503,8023,53
20170504,8023,77
20170505,8023,36
20170506,8023,12
20170507,8023,261
20170508,8023,371
20170509,8023,59
20170510,8023,7
20170511,8023,101
20170512,8023,107
20170513,8023,235
20170514,8023,169
20170515,8023,102
20170516,8023,224
20170517,8023,43
20170518,8023,30
20170519,8023,237
20170520,8023,98
20170521,8023,126
20170522,8023,7
20170523,8023,32
20170524,8023,66
20170525,8023,15
20170526,8023,33
20170527,8023,11
20170528,8023,192
20170529,8023,323
20170530,8023,78
20170531,8023,4
20170601,8023,84
20170602,8023,85
20170603,8023,172
20170604,8023,181
20170605,8023,107
20170606,8023,186
20170607,8023,40
20170608,8023,21
20170609,8023,113
20170610,8023,58
20170611,8023,36
20170612,8023,23
20170613,8023,51
20170614,8023,60
20170615,8023,23
20170616,8023,61
20170617,8023,15
20170618,8023,153
20170619,8023,167
20170620,8023,55
20170621,8023,4
20170622,8023,88
20170623,8023,79
20170624,8023,226
20170625,8023,167
20170626,8023,104
20170627,8023,167
20170628,8023,41
20170629,8023,17
20170630,8023,147
20170701,8023,53
20170702,8023,14
20170703,8023,9
20170704,8023,35
20170705,8023,37
20170706,8023,17
20170707,8023,340
20170708,8023,12
20170709,8023,225
20170710,8023,228
20170711,8023,72
20170712,8023,84
20170713,8023,99
20170714,8023,100
20170715,8023,192
20170716,8023,188
20170717,8023,122
20170718,8023,195
20170720,8023,57
20170721,8023,30
20170722,8023,142
20170723,8023,63
20170724,8023,34
20170725,8023,15
20170726,8023,41
20170727,8023,68
20170728,8023,18
20170729,8023,126
20170730,8023,7
20170731,8023,181
20170801,8023,193
20170802,8023,80
20170803,8023,50
20170804,8023,64
20170805,8023,98
20170806,8023,148
20170807,8023,155
20170808,8023,94
20170809,8023,159
20170810,8023,34
20170811,8023,34
20170812,8023,110
20170813,8023,86
20170814,8023,22
20170815,8023,16
20170816,8023,25
20170817,8023,38
20170818,8023,28
20170819,8023,120
20170820,8023,9
20170821,8023,198
20170822,8023,201
20170823,8023,82
20170824,8023,63
20170825,8023,105
20170826,8023,171
20170827,8023,165
20170828,8023,508
20170829,8023,111
20170830,8023,128
20170831,8023,38
20170901,8023,17
20170902,8023,130
20170903,8023,81
20170904,8023,38
20170905,8023,13
20170906,8023,14
20170907,8023,42
20170908,8023,21
20170909,8023,54
20170910,8023,13
20170911,8023,200
20170912,8023,227
20170913,8023,96
20170914,8023,66
20170915,8023,97
20170916,8023,143
20170917,8023,185
20170918,8023,142
20170919,8023,90
20170920,8023,211
20170921,8023,51
20170922,8023,19
20170923,8023,453
20170924,8023,434
20170925,8023,29
20170926,8023,10
20170927,8023,22
20170928,8023,43
20170929,8023,23
20170930,8023,40
20171001,8023,9
20171002,8023,201
20171003,8023,232
20171004,8023,74
20171005,8023,16
20171006,8023,74
20171007,8023,157
20171008,8023,185
20171009,8023,205
20171010,8023,63
20171011,8023,592
20171012,8023,37
20171013,8023,38
20171014,8023,313
20171015,8023,176
